new EnvItem("ceu-cenario_9", "Assets/Sprites/Environment/ceu-cenario.png", 2.320f, 8.470f, 1.427f, 1.908f, 0.000f, -2),
new EnvItem("cenarios_1 (1)", "Assets/Sprites/Environment/cenarios.png", -3.600f, 2.960f, 1.423f, 1.387f, -88.986f, -2),
new EnvItem("cenarios_1 (2)", "Assets/Sprites/Environment/cenarios.png", 7.510f, 3.480f, 1.423f, 1.387f, 91.587f, -2),
new EnvItem("cenarios_1", "Assets/Sprites/Environment/cenarios.png", 2.340f, -3.070f, 1.423f, 1.387f, 2.001f, -1),
new EnvItem("cenarios_0", "Assets/Sprites/Environment/cenarios.png", 2.040f, 10.280f, 1.270f, 1.270f, 0.000f, -1),
new EnvItem("mega-arvores_0 (1)", "Assets/Sprites/Environment/mega-arvores.png", -2.482f, 6.921f, 1.000f, 1.000f, 0.000f, 0),
new EnvItem("mega-arvores_8", "Assets/Sprites/Environment/mega-arvores.png", 5.995f, 6.485f, 1.000f, 1.000f, 0.000f, 0),
new EnvItem("taboleiro5x8_0", "Assets/Sprites/Environment/taboleiro5x8.png", 1.930f, 3.680f, 1.000f, 1.000f, 0.000f, 0),
new EnvItem("mega-arvores_3", "Assets/Sprites/Environment/mega-arvores.png", 6.280f, -1.250f, 1.000f, 1.000f, 0.000f, 0),
new EnvItem("mega-arvores_1", "Assets/Sprites/Environment/mega-arvores.png", -2.875f, -1.186f, 1.000f, 1.000f, 0.000f, 0),
new EnvItem("mega-arvores_5", "Assets/Sprites/Environment/mega-arvores.png", -2.526f, 4.655f, 1.000f, 1.000f, 0.000f, 0),
new EnvItem("mega-arvores_6", "Assets/Sprites/Environment/mega-arvores.png", 6.191f, 7.204f, 1.000f, 1.000f, 0.000f, 0),
new EnvItem("mega-arvores_3 (1)", "Assets/Sprites/Environment/mega-arvores.png", -2.722f, 5.810f, 1.000f, 1.000f, 0.000f, 0),
new EnvItem("mega-arvores_0", "Assets/Sprites/Environment/mega-arvores.png", 6.430f, -0.680f, 1.000f, 1.000f, 0.000f, 1),
new EnvItem("nuvens_0", "Assets/Sprites/Environment/nuvens.png", -3.419f, 11.367f, 1.000f, 1.000f, 0.000f, 1),
new EnvItem("mega-arvores_2", "Assets/Sprites/Environment/mega-arvores.png", 2.720f, -1.820f, 1.000f, 1.000f, 0.000f, 2),
new EnvItem("mega-arvores_6 (1)", "Assets/Sprites/Environment/mega-arvores.png", 6.450f, 5.890f, 1.266f, 1.473f, 0.000f, 2),
new EnvItem("nuvens_1", "Assets/Sprites/Environment/nuvens.png", 4.750f, 11.260f, 1.000f, 1.000f, 0.000f, 2),
new EnvItem("mega-arvores_4", "Assets/Sprites/Environment/mega-arvores.png", -2.199f, 7.597f, 1.000f, 1.000f, 0.000f, 2),
new EnvItem("nuvens_25", "Assets/Sprites/Environment/nuvens.png", -0.410f, 10.670f, 1.000f, 1.000f, 0.000f, 2),
new EnvItem("mega-arvores_0 (3)", "Assets/Sprites/Environment/mega-arvores.png", 0.305f, -2.035f, 1.000f, 1.000f, 0.000f, 2),
new EnvItem("nuvens_15", "Assets/Sprites/Environment/nuvens.png", 1.900f, 11.000f, 1.000f, 1.000f, 0.000f, 2),
new EnvItem("mega-arvores_5 (1)", "Assets/Sprites/Environment/mega-arvores.png", 4.620f, -1.250f, 1.000f, 1.000f, 0.000f, 2),
new EnvItem("mega-arvores_8 (1)", "Assets/Sprites/Environment/mega-arvores.png", 2.510f, -1.050f, 1.000f, 1.000f, 0.000f, 2),
new EnvItem("mega-arvores_4 (1)", "Assets/Sprites/Environment/mega-arvores.png", -2.550f, 5.260f, 1.000f, 1.000f, 42.347f, 2),
new EnvItem("mega-arvores_0 (2)", "Assets/Sprites/Environment/mega-arvores.png", 7.390f, 0.220f, 1.381f, 1.508f, 0.000f, 2),
new EnvItem("nuvens_30", "Assets/Sprites/Environment/nuvens.png", 0.329f, 11.933f, 1.000f, 1.000f, 0.000f, 2),
new EnvItem("mega-arvores_10", "Assets/Sprites/Environment/mega-arvores.png", -2.840f, 6.380f, -0.872f, 1.000f, 0.000f, 2),
new EnvItem("mega-arvores_6 (2)", "Assets/Sprites/Environment/mega-arvores.png", 0.940f, -1.210f, 1.000f, 1.000f, 0.000f, 2),
